Exact age,Death probability (M),Number of lives (M),Life expectancy (M),Death probability (F),Number of lives (F),Life expectancy (F)
0,0.006015,"100,000",75.79,0.005125,"100,000",81.06
1,0.000479,"99,399",75.25,0.000392,"99,487",80.48
2,0.00032,"99,351",74.28,0.000229,"99,448",79.51
3,0.000249,"99,319",73.31,0.000188,"99,426",78.53
4,0.000194,"99,294",72.33,0.000155,"99,407",77.54
5,0.000159,"99,275",71.34,0.000133,"99,392",76.55
6,0.000137,"99,259",70.35,0.000115,"99,378",75.56
7,0.000125,"99,246",69.36,0.000105,"99,367",74.57
8,0.00012,"99,233",68.37,0.0001,"99,357",73.58
9,0.00012,"99,221",67.38,0.000098,"99,347",72.59
10,0.000125,"99,210",66.39,0.000101,"99,337",71.59
11,0.00014,"99,197",65.39,0.000111,"99,327",70.6
12,0.000173,"99,183",64.4,0.000126,"99,316",69.61
13,0.000233,"99,166",63.41,0.000152,"99,303",68.62
14,0.000327,"99,143",62.43,0.000188,"99,288",67.63
15,0.000463,"99,111",61.45,0.000229,"99,270",66.64
16,0.000634,"99,065",60.48,0.000273,"99,247",65.66
17,0.000819,"99,002",59.51,0.000323,"99,220",64.67
18,0.000999,"98,921",58.56,0.000372,"99,188",63.69
19,0.001138,"98,822",57.62,0.00041,"99,151",62.72
20,0.001235,"98,709",56.69,0.000441,"99,110",61.74
21,0.001315,"98,588",55.76,0.000476,"99,066",60.77
22,0.001378,"98,458",54.83,0.000513,"99,019",59.8
23,0.001439,"98,322",53.9,0.000546,"98,968",58.83
24,0.001509,"98,181",52.98,0.000582,"98,914",57.86
25,0.001595,"98,033",52.06,0.000609,"98,857",56.9
26,0.001685,"97,876",51.14,0.000641,"98,797",55.93
27,0.001783,"97,711",50.23,0.000683,"98,733",54.97
28,0.001876,"97,537",49.32,0.00074,"98,666",54
29,0.00197,"97,354",48.41,0.000808,"98,593",53.04
30,0.002085,"97,162",47.5,0.000878,"98,513",52.08
31,0.002202,"96,960",46.6,0.000947,"98,427",51.13
32,0.002308,"96,746",45.7,0.001018,"98,333",50.18
33,0.002407,"96,523",44.81,0.001089,"98,233",49.23
34,0.00249,"96,291",43.91,0.001154,"98,126",48.28
35,0.002577,"96,051",43.02,0.001209,"98,013",47.34
36,0.002665,"95,803",42.13,0.001263,"97,895",46.39
37,0.002764,"95,548",41.24,0.001347,"97,771",45.45
38,0.002864,"95,284",40.36,0.001438,"97,639",44.51
39,0.002987,"95,011",39.47,0.001533,"97,499",43.58
40,0.003115,"94,727",38.59,0.001643,"97,350",42.64
41,0.003253,"94,432",37.71,0.001742,"97,190",41.71
42,0.003419,"94,125",36.83,0.001845,"97,020",40.78
43,0.0036,"93,803",35.95,0.001954,"96,841",39.86
44,0.003777,"93,465",35.08,0.002075,"96,652",38.93
45,0.003931,"93,112",34.21,0.002187,"96,452",38.01
46,0.004073,"92,746",33.34,0.002306,"96,241",37.1
47,0.004245,"92,369",32.48,0.002438,"96,019",36.18
48,0.004477,"91,977",31.62,0.002595,"95,785",35.27
49,0.004795,"91,565",30.76,0.002791,"95,536",34.36
50,0.005126,"91,126",29.9,0.00303,"95,269",33.45
51,0.005496,"90,659",29.05,0.003288,"94,981",32.55
52,0.005917,"90,160",28.21,0.003554,"94,668",31.66
53,0.006404,"89,627",27.38,0.003847,"94,332",30.77
54,0.006923,"89,053",26.55,0.004172,"93,969",29.89
55,0.007491,"88,436",25.73,0.004532,"93,577",29.01
56,0.008173,"87,774",24.92,0.004923,"93,153",28.14
57,0.008938,"87,056",24.12,0.005365,"92,694",27.28
58,0.009714,"86,278",23.34,0.005815,"92,197",26.42
59,0.010494,"85,440",22.56,0.006333,"91,661",25.57
60,0.011337,"84,544",21.79,0.006923,"91,080",24.73
61,0.012232,"83,585",21.04,0.007555,"90,450",23.9
62,0.013196,"82,563",20.29,0.00822,"89,767",23.08
63,0.014229,"81,473",19.56,0.008881,"89,029",22.27
64,0.015316,"80,314",18.83,0.009514,"88,238",21.46
65,0.016455,"79,084",18.12,0.010188,"87,399",20.66
66,0.017574,"77,783",17.41,0.01088,"86,508",19.87
67,0.018735,"76,416",16.71,0.011659,"85,567",19.08
68,0.019981,"74,984",16.02,0.012543,"84,569",18.3
69,0.021366,"73,486",15.34,0.013581,"83,509",17.53
70,0.022903,"71,916",14.66,0.014769,"82,374",16.76
71,0.024615,"70,269",14,0.016153,"81,158",16.01
72,0.026504,"68,539",13.34,0.017705,"79,847",15.26
73,0.028648,"66,722",12.69,0.019495,"78,433",14.53
74,0.031071,"64,811",12.05,0.021533,"76,904",13.81
75,0.033802,"62,797",11.42,0.023846,"75,248",13.1
76,0.03701,"60,675",10.8,0.026458,"73,454",12.41
77,0.041158,"58,429",10.19,0.0297,"71,510",11.73
78,0.045461,"56,024",9.61,0.033135,"69,387",11.08
79,0.050346,"53,477",9.04,0.036982,"67,087",10.44
80,0.055633,"50,785",8.5,0.041183,"64,606",9.82
81,0.061757,"47,960",7.97,0.045959,"61,946",9.22
82,0.068358,"44,998",7.46,0.051282,"59,099",8.64
83,0.07542,"41,922",6.97,0.057262,"56,068",8.08
84,0.083364,"38,760",6.5,0.064107,"52,857",7.54
85,0.09268,"35,529",6.04,0.071752,"49,469",7.02
86,0.103459,"32,236",5.61,0.08049,"45,919",6.53
87,0.115502,"28,901",5.2,0.090566,"42,223",6.05
88,0.129018,"25,563",4.81,0.102204,"38,399",5.61
89,0.14381,"22,265",4.45,0.115178,"34,475",5.19
90,0.159458,"19,063",4.11,0.129176,"30,504",4.8
91,0.176551,"16,023",3.8,0.144229,"26,564",4.44
92,0.19536,"13,194",3.5,0.160353,"22,732",4.1
93,0.216286,"10,617",3.23,0.177635,"19,087",3.79
94,0.238799,"8,320",2.99,0.196502,"15,697",3.5
95,0.262268,"6,333",2.77,0.216846,"12,612",3.23
96,0.286291,"4,672",2.58,0.23875,"9,877",2.99
97,0.310944,"3,335",2.41,0.261359,"7,519",2.77
98,0.332325,"2,298",2.27,0.283899,"5,554",2.57
99,0.349036,"1,534",2.15,0.306491,"3,977",2.39
100,0.366568,999,2.04,0.32968,"2,758",2.23
101,0.38496,633,1.93,0.353333,"1,849",2.08
102,0.404252,389,1.83,0.3773,"1,196",1.94
103,0.424488,232,1.72,0.401416,745,1.82
104,0.445712,133,1.63,0.425501,446,1.7
105,0.467998,74,1.54,0.451031,256,1.59
106,0.491398,39,1.45,0.478092,141,1.48
107,0.515968,20,1.36,0.506778,73,1.38
108,0.541766,10,1.28,0.537185,36,1.29
109,0.568854,4,1.2,0.568854,17,1.2
110,0.597297,2,1.13,0.597297,7,1.13
111,0.627162,1,1.05,0.627162,3,1.05
112,0.65852,0,0.98,0.65852,1,0.98
113,0.691446,0,0.92,0.691446,0,0.92
114,0.726018,0,0.85,0.726018,0,0.85
115,0.762319,0,0.79,0.762319,0,0.79
116,0.800435,0,0.74,0.800435,0,0.74
117,0.840457,0,0.68,0.840457,0,0.68
118,0.88248,0,0.63,0.88248,0,0.63
119,0.926604,0,0.58,0.926604,0,0.58
